epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,355.921,0.73361,2.19372,1.18065,0.32817,0.39,0.42495,0.33095,0.7895,2.3657,1.40276,0.000467346,0.000467346,0.000467346
2,650.535,0.65987,1.44154,1.08151,0.44865,0.51652,0.52119,0.39778,0.87412,2.12047,1.43932,0.000939942,0.000939942,0.000939942
3,907.271,0.70599,1.28403,1.10179,0.76219,0.55032,0.58121,0.45875,0.77696,1.71742,1.37342,0.00140877,0.00140877,0.00140877
4,1186.18,0.69428,1.19441,1.10754,0.60877,0.6133,0.60154,0.42124,0.80324,1.93554,1.41092,0.00141202,0.00141202,0.00141202
5,1438.81,0.65979,1.05786,1.07738,0.58094,0.40605,0.48298,0.35438,0.94158,2.29458,1.48098,0.00140636,0.00140636,0.00140636
6,1691.21,0.65978,1.05353,1.08268,0.67093,0.55714,0.6862,0.547,0.70766,1.38164,1.27009,0.00140071,0.00140071,0.00140071
7,1943.6,0.65889,0.95322,1.07348,0.44649,0.83686,0.60165,0.44273,0.82739,1.68476,1.43771,0.00139505,0.00139505,0.00139505
8,2195.52,0.633,0.90441,1.07335,0.62277,0.78588,0.60106,0.4959,0.66272,1.16516,1.27497,0.00138939,0.00138939,0.00138939
9,2446.41,0.63214,0.89738,1.06345,0.69555,0.72873,0.70538,0.57842,0.68628,1.27745,1.20412,0.00138373,0.00138373,0.00138373
10,2703.29,0.59194,0.83538,1.03802,0.61897,0.70007,0.69997,0.56586,0.65581,1.07983,1.2518,0.00137807,0.00137807,0.00137807
11,2968.6,0.5895,0.80579,1.03527,0.63159,0.67301,0.64745,0.53631,0.70335,1.06186,1.27426,0.00137241,0.00137241,0.00137241
12,3224.09,0.58428,0.77318,1.02939,0.71553,0.68129,0.7293,0.62149,0.59083,0.84599,1.15197,0.00136675,0.00136675,0.00136675
13,3475.93,0.59222,0.73204,1.03475,0.63576,0.68026,0.64791,0.46657,0.89923,1.42724,1.59927,0.00136109,0.00136109,0.00136109
14,3728.51,0.57498,0.73409,1.02382,0.66202,0.75268,0.67871,0.54087,0.67331,0.93663,1.24013,0.00135544,0.00135544,0.00135544
15,3979.77,0.5658,0.72855,1.02761,0.7907,0.67998,0.77623,0.67288,0.63737,0.76286,1.21645,0.00134978,0.00134978,0.00134978
16,4231.6,0.57187,0.72935,1.02177,0.5226,0.78937,0.6804,0.59312,0.60538,1.0958,1.1696,0.00134412,0.00134412,0.00134412
17,4482.88,0.56965,0.72869,1.02684,0.73474,0.75599,0.73433,0.63281,0.5588,0.88562,1.11772,0.00133846,0.00133846,0.00133846
18,4734.81,0.55801,0.6392,1.01309,0.71364,0.75274,0.67231,0.56187,0.61943,0.9303,1.2013,0.0013328,0.0013328,0.0013328
19,4986.05,0.57258,0.67329,1.01682,0.68454,0.69399,0.71744,0.61317,0.56004,0.74549,1.10583,0.00132714,0.00132714,0.00132714
20,5237.18,0.54782,0.6581,1.01002,0.53546,0.78033,0.67965,0.58972,0.53554,0.94708,1.07988,0.00132148,0.00132148,0.00132148
21,5487.95,0.55158,0.69197,1.0139,0.71227,0.65074,0.69976,0.56526,0.62261,0.91612,1.19365,0.00131582,0.00131582,0.00131582
22,5738.79,0.5273,0.63755,1.00395,0.68195,0.69081,0.73403,0.6305,0.58268,0.81555,1.15302,0.00131016,0.00131016,0.00131016
23,5990.08,0.53998,0.64251,1.01151,0.58148,0.75112,0.69587,0.58901,0.55418,0.92672,1.11019,0.00130451,0.00130451,0.00130451
24,6243.39,0.54018,0.61923,1.00821,0.65022,0.73751,0.68917,0.58041,0.57173,0.91918,1.15764,0.00129885,0.00129885,0.00129885
25,6496.85,0.50985,0.63535,0.99239,0.77854,0.7058,0.7584,0.63285,0.5772,0.81884,1.13926,0.00129319,0.00129319,0.00129319
26,6751.8,0.52076,0.62514,1.00079,0.63358,0.71557,0.73978,0.61752,0.57739,0.75667,1.16756,0.00128753,0.00128753,0.00128753
27,7004.31,0.51135,0.60546,1.00003,0.69938,0.75666,0.69234,0.5907,0.5329,0.86135,1.10583,0.00128187,0.00128187,0.00128187
28,7256.64,0.5134,0.58866,0.99491,0.72785,0.71101,0.74604,0.65625,0.53466,0.67621,1.09473,0.00127621,0.00127621,0.00127621
29,7508.39,0.53456,0.59945,1.0036,0.68038,0.6524,0.63554,0.52978,0.52965,0.86942,1.11612,0.00127055,0.00127055,0.00127055
