                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.74888,                 2.4516,                 1.1893,                0.97258,                0.15499,                0.39852,                0.33468,                0.60893,                 2.7705,                 1.2102,             0.00037154,             0.00037154,             0.00037154
                      2,                0.62716,                 1.6104,                 1.0915,                0.61331,                0.53415,                0.62089,                0.52195,                 0.7034,                 2.0407,                 1.3575,             0.00074237,             0.00074237,             0.00074237
                      3,                 0.6631,                 1.3297,                 1.0823,                0.87867,                0.57791,                  0.715,                0.57609,                0.72955,                 1.9723,                 1.3629,              0.0010979,              0.0010979,              0.0010979
                      4,                0.67712,                 1.2431,                 1.0957,                0.60415,                0.58935,                0.61884,                0.41402,                 1.1392,                 2.1859,                   1.79,              0.0013441,              0.0013441,              0.0013441
                      5,                0.69666,                 1.2015,                 1.1016,                0.45642,                0.78601,                0.62579,                0.42219,                0.94877,                 3.2746,                 1.5408,              0.0013441,              0.0013441,              0.0013441
                      6,                0.68483,                  1.193,                 1.0961,                0.59279,                0.72685,                0.68433,                0.48107,                0.84267,                 2.1855,                 1.4856,              0.0013158,              0.0013158,              0.0013158
                      7,                 0.6402,                 1.0377,                 1.0683,                0.71142,                0.63372,                0.73417,                0.56856,                 0.7344,                 1.8789,                 1.3795,              0.0012875,              0.0012875,              0.0012875
                      8,                0.64161,                 1.0395,                 1.0689,                0.73361,                0.73009,                  0.761,                0.62417,                 0.6777,                 1.5652,                 1.2755,              0.0012592,              0.0012592,              0.0012592
                      9,                0.63535,                0.96309,                 1.0723,                0.66672,                 0.6529,                0.70022,                0.55603,                0.80013,                 1.6028,                 1.4162,              0.0012309,              0.0012309,              0.0012309
                     10,                0.68963,                0.96622,                 1.1034,                0.80669,                0.80228,                0.86771,                0.72495,                0.69206,                 1.0268,                  1.301,              0.0012026,              0.0012026,              0.0012026
                     11,                0.59509,                0.84864,                 1.0372,                0.84219,                0.72261,                0.84824,                 0.6761,                0.72591,                 1.1169,                 1.3126,              0.0011744,              0.0011744,              0.0011744
                     12,                0.58368,                0.79339,                 1.0292,                0.65047,                0.81601,                0.70991,                0.59202,                0.63312,                 1.1601,                 1.2564,              0.0011461,              0.0011461,              0.0011461
                     13,                0.57724,                0.82337,                 1.0262,                0.29913,                0.51157,                0.44549,                0.34459,                0.78453,                 2.7111,                 1.3904,              0.0011178,              0.0011178,              0.0011178
                     14,                0.57168,                0.77432,                 1.0249,                0.73497,                0.75734,                0.74904,                0.61991,                0.68022,                 1.2169,                 1.2129,              0.0010895,              0.0010895,              0.0010895
                     15,                0.55168,                0.75507,                 1.0115,                0.74646,                0.89243,                0.85942,                0.74226,                0.59886,                0.93579,                 1.1613,              0.0010612,              0.0010612,              0.0010612
                     16,                0.56215,                0.76666,                 1.0041,                0.78719,                0.90168,                0.88255,                0.74652,                0.66303,                0.88918,                 1.2417,              0.0010329,              0.0010329,              0.0010329
                     17,                 0.5677,                0.74583,                  1.026,                0.77915,                0.66191,                0.72493,                0.59648,                0.71287,                 1.0258,                 1.3103,              0.0010046,              0.0010046,              0.0010046
                     18,                0.54506,                0.70836,                0.99856,                0.72894,                0.82276,                0.84992,                  0.725,                0.59164,                0.88675,                 1.1682,             0.00097629,             0.00097629,             0.00097629
                     19,                0.52818,                0.69776,                 1.0027,                0.86318,                0.78798,                0.86294,                0.76841,                0.61483,                0.73355,                 1.2027,               0.000948,               0.000948,               0.000948
                     20,                0.53649,                0.66744,                  1.004,                   0.64,                 0.8251,                0.78545,                0.68262,                0.61523,                 1.1411,                 1.2175,              0.0009197,              0.0009197,              0.0009197
                     21,                0.53604,                0.69333,                 1.0099,                0.79301,                0.87934,                0.87475,                0.75789,                0.58665,                0.84047,                 1.1588,             0.00089141,             0.00089141,             0.00089141
                     22,                0.53081,                0.66267,                0.99931,                0.83214,                0.85396,                0.84531,                0.74392,                0.54173,                0.66009,                 1.0889,             0.00086312,             0.00086312,             0.00086312
                     23,                0.51187,                0.63447,                0.99295,                0.79355,                0.83158,                0.86188,                0.77742,                0.52394,                0.68148,                 1.0915,             0.00083482,             0.00083482,             0.00083482
                     24,                0.51084,                0.60262,                0.99197,                0.80541,                0.87735,                0.86568,                0.77572,                0.54131,                0.63116,                 1.0907,             0.00080653,             0.00080653,             0.00080653
                     25,                0.51653,                0.57801,                0.99452,                0.81417,                0.86094,                0.85026,                0.76372,                0.53144,                0.58628,                 1.1065,             0.00077823,             0.00077823,             0.00077823
                     26,                0.51587,                0.58977,                0.99714,                0.79408,                0.87857,                0.89287,                0.80452,                0.54529,                0.64501,                 1.1289,             0.00074994,             0.00074994,             0.00074994
                     27,                0.49978,                0.54571,                0.98916,                0.74614,                0.79566,                0.86666,                0.78465,                0.52713,                0.76063,                 1.0956,             0.00072164,             0.00072164,             0.00072164
