                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     28,                0.51445,                0.54447,                0.98743,                0.83633,                0.82877,                0.90308,                0.83394,                0.51962,                0.56822,                 1.0796,             0.00069335,             0.00069335,             0.00069335
                     29,                0.47955,                0.54954,                0.97616,                0.83012,                0.85519,                0.88561,                0.79966,                0.49534,                 0.5633,                 1.0598,             0.00066506,             0.00066506,             0.00066506
                     30,                0.47402,                 0.5324,                0.96112,                0.78333,                0.92361,                0.86036,                0.78208,                0.48879,                0.56141,                 1.0604,             0.00063676,             0.00063676,             0.00063676
                     31,                0.46683,                0.49715,                0.98016,                0.86075,                0.87485,                0.88273,                0.78547,                0.50988,                0.57029,                 1.0822,             0.00060847,             0.00060847,             0.00060847
                     32,                0.46554,                0.51447,                0.97003,                0.85734,                0.85201,                0.90212,                0.81201,                0.50491,                0.49238,                 1.0584,             0.00058017,             0.00058017,             0.00058017
                     33,                0.46655,                0.51547,                0.97108,                0.81927,                0.90673,                0.87569,                0.80121,                0.47597,                0.48115,                  1.048,             0.00055188,             0.00055188,             0.00055188
                     34,                 0.4242,                0.45185,                0.94597,                0.84553,                0.87847,                 0.8719,                0.80077,                0.49563,                0.48544,                 1.0693,             0.00052359,             0.00052359,             0.00052359
                     35,                0.45256,                0.47274,                0.95908,                0.86823,                0.87298,                0.87226,                0.79873,                0.48533,                0.50322,                 1.0614,             0.00049529,             0.00049529,             0.00049529
                     36,                 0.4517,                0.46778,                0.96982,                0.85785,                0.90912,                0.88536,                0.81394,                0.48703,                0.49981,                 1.0393,               0.000467,               0.000467,               0.000467
                     37,                0.44176,                0.45682,                0.96029,                 0.8077,                0.90497,                0.90561,                0.82169,                0.50832,                0.50044,                 1.0547,              0.0004387,              0.0004387,              0.0004387
                     38,                 0.4076,                0.40899,                0.94139,                0.85874,                0.86133,                0.88205,                0.82014,                0.47031,                0.46735,                 1.0307,             0.00041041,             0.00041041,             0.00041041
                     28,                0.51445,                0.54447,                0.98743,                0.83633,                0.82877,                0.90308,                0.83394,                0.51962,                0.56822,                 1.0796,             0.00069335,             0.00069335,             0.00069335
                     29,                0.47955,                0.54954,                0.97616,                0.83012,                0.85519,                0.88561,                0.79966,                0.49534,                 0.5633,                 1.0598,             0.00066506,             0.00066506,             0.00066506
                     30,                0.47402,                 0.5324,                0.96112,                0.78333,                0.92361,                0.86036,                0.78208,                0.48879,                0.56141,                 1.0604,             0.00063676,             0.00063676,             0.00063676
                     31,                0.46683,                0.49715,                0.98016,                0.86075,                0.87485,                0.88273,                0.78547,                0.50988,                0.57029,                 1.0822,             0.00060847,             0.00060847,             0.00060847
                     32,                0.46554,                0.51447,                0.97003,                0.85734,                0.85201,                0.90212,                0.81201,                0.50491,                0.49238,                 1.0584,             0.00058017,             0.00058017,             0.00058017
                     33,                0.46655,                0.51547,                0.97108,                0.81927,                0.90673,                0.87569,                0.80121,                0.47597,                0.48115,                  1.048,             0.00055188,             0.00055188,             0.00055188
                     34,                 0.4242,                0.45185,                0.94597,                0.84553,                0.87847,                 0.8719,                0.80077,                0.49563,                0.48544,                 1.0693,             0.00052359,             0.00052359,             0.00052359
                     35,                0.45256,                0.47274,                0.95908,                0.86823,                0.87298,                0.87226,                0.79873,                0.48533,                0.50322,                 1.0614,             0.00049529,             0.00049529,             0.00049529
                     36,                 0.4517,                0.46778,                0.96982,                0.85785,                0.90912,                0.88536,                0.81394,                0.48703,                0.49981,                 1.0393,               0.000467,               0.000467,               0.000467
                     37,                0.44176,                0.45682,                0.96029,                 0.8077,                0.90497,                0.90561,                0.82169,                0.50832,                0.50044,                 1.0547,              0.0004387,              0.0004387,              0.0004387
                     38,                 0.4076,                0.40899,                0.94139,                0.85874,                0.86133,                0.88205,                0.82014,                0.47031,                0.46735,                 1.0307,             0.00041041,             0.00041041,             0.00041041
